TRX_NUMBER,LINE_NUMBER,TAX_REGIME_CODE,TAX,TAX_RATE_CODE,TAX_JURISDICTION_CODE,TAX_AMT,TAX_RATE,TAXABLE_AMT,SELF_ASSESSED_FLAG,PROVIDER_REC_RATE,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15
DE102920VENLINE01,1,"VERTEX US TAX",COUNTY,STD,CO-VTL-111210000,27.5,2.75,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,FULTON,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|613.500000|-77.5|||N
DE102920VENLINE01,1,"VERTEX US TAX",SALES_TAX_DISTRICT_1,STD,DI-VTL-78130,10,1,1000,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,"METROPOLITAN ATLANTA RAPID TRANSIT AUTHORITY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|613.500000|-77.5|||N
DE102920VENLINE01,1,"VERTEX US TAX",STATE,STD,ST-VTL-110000000,40,4,1000,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,GEORGIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|ACCRUEALL|RANGE|613.500000|-77.5|||N
DE102920VENLINE01,2,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,0,6,1000,N,,"SALES|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,PENNSYLVANIA,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|PAYCHARGED|RANGE|613.500000|-60.0|60.0|0|N
DE102920VENLINE01,3,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,68.5,6.85,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678||||,"CASTLE VALLEY",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|ZEROCHARGED|PAYCALCULATED|RANGE|613.500000|-68.5|68.5|0|N
DE102920VENLINE01,4,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,9.25,1000,N,,"SELLER_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE01,4,"VERTEX US TAX",COUNTY,STD,CO-VTL-430370000,5.47,2.25,243.24,Y,,"CONSUMERS_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678|98-765432|||,DAVIDSON,TAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE01,4,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,0,0,0,Y,,"CONSUMERS_USE|State Single Article Tax|Additional Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,NONTAXABLE|DEFAULT||TIERED|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE01,4,"VERTEX US TAX",STATE,STD,ST-VTL-430000000,17.03,7,243.24,Y,,"CONSUMERS_USE|Sales and Use Tax|General Sales and Use Tax",SUPREGIMELEVELREG123||||,TENNESSEE,TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGEDACCRDIFF|RANGE|613.500000|-22.5|92.5|70|N
DE102920VENLINE01,5,"VERTEX COMMON TAX","VERTEX TAX",STD,VTX_VERTEX_TAX_JURCD,70,8.88,1000,N,,"SELLER_USE|Local Sales and Use Tax|General Sales and Use Tax",SITE12345678||||,"NEW YORK",TAXABLE|DEFAULT||SINGLE_RATE|||||||F,321|799.25|UNDERCHARGED|PAYCHARGED|RANGE|613.500000|-18.75|88.75|70|N
